school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian_x,traveltime_x,studytime_x,failures_x,schoolsup_x,famsup_x,paid_x,activities_x,nursery,higher_x,internet,romantic_x,famrel_x,freetime_x,goout_x,Dalc_x,Walc_x,health_x,absences_x,G1_x,G2_x,G3_x,guardian_y,traveltime_y,studytime_y,failures_y,schoolsup_y,famsup_y,paid_y,activities_y,higher_y,romantic_y,famrel_y,freetime_y,goout_y,Dalc_y,Walc_y,health_y,absences_y,G1_y,G2_y,G3_y,at_risk_math,at_risk_port,at_risk_total,total_absences,total_failures,mean_parent_edu,avg_study_time,family_support,avg_alcohol_consumption,internet_access,urban_rural,school_support
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2.0,15,15,16,mother,1,2,0,no,no,no,yes,yes,no,4,5,1,1,3,5,0,12,13,14,0,0,Not At Risk,2.0,0,3.0,2.0,0,1.0,1,1,0
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0.0,13,13,12,mother,2,2,0,no,yes,no,yes,yes,no,5,4,4,2,4,5,2,10,10,10,0,0,Not At Risk,2.0,0,2.0,2.0,1,2.0,1,1,0
GP,F,15,R,GT3,T,2,4,services,Other,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2.0,10,9,8,mother,1,3,0,yes,yes,no,yes,yes,no,4,3,2,1,1,5,2,10,11,10,1,0,At Risk (Math Only),4.0,0,3.0,3.0,1,1.0,1,0,1
GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,14.0,6,9,8,mother,1,1,0,no,yes,no,no,yes,no,1,2,2,1,3,5,6,10,11,12,1,0,At Risk (Math Only),20.0,2,2.0,1.0,1,1.0,1,1,0
GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2.0,12,12,11,mother,1,1,0,no,yes,no,no,yes,no,4,2,2,1,2,5,8,11,12,12,0,0,Not At Risk,10.0,0,2.0,1.0,1,1.0,1,1,0
GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,4.0,15,16,15,mother,1,1,0,no,no,no,no,yes,no,2,2,4,2,4,1,0,11,11,11,0,0,Not At Risk,4.0,0,3.0,1.0,0,2.0,1,1,0
GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4.0,11,11,11,mother,1,2,0,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2,12,12,13,0,0,Not At Risk,6.0,0,3.5,2.0,1,1.0,1,1,1
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16.0,10,12,11,mother,1,2,0,no,yes,yes,yes,yes,yes,4,4,5,5,5,5,4,12,11,12,0,0,Not At Risk,20.0,0,4.0,2.0,1,5.0,1,1,0
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0.0,9,11,12,mother,1,2,0,no,yes,yes,no,yes,no,5,4,2,3,4,5,0,10,11,11,0,0,Not At Risk,0.0,0,4.0,2.0,1,3.0,1,1,0
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0.0,17,16,17,mother,2,2,0,no,yes,no,yes,yes,no,4,3,1,1,1,5,2,15,15,15,0,0,Not At Risk,2.0,0,4.0,2.0,1,1.0,1,1,0
GP,M,15,R,GT3,T,4,3,teacher,Other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0.0,17,16,16,mother,1,2,0,no,yes,no,yes,yes,yes,4,5,2,1,1,5,0,13,14,15,0,0,Not At Risk,0.0,0,3.5,2.0,1,1.0,1,0,0
GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0.0,8,10,12,mother,1,2,0,no,no,no,yes,yes,no,5,3,2,1,1,2,0,13,12,12,0,0,Not At Risk,0.0,0,3.0,2.0,0,1.0,1,1,0
GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,yes,no,no,yes,yes,no,5,4,3,1,1,5,0.0,12,14,15,mother,1,1,0,no,yes,no,no,yes,no,5,4,3,1,1,5,4,12,12,12,0,0,Not At Risk,4.0,0,2.5,1.0,1,1.0,1,1,0
GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,0.0,8,7,6,father,2,1,0,no,yes,no,yes,yes,no,3,5,1,1,1,5,4,11,11,11,1,0,At Risk (Math Only),4.0,0,2.5,1.0,1,1.0,0,1,0
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2.0,15,16,18,mother,1,3,0,no,yes,no,yes,yes,no,5,4,3,1,1,4,0,14,14,14,0,0,Not At Risk,2.0,0,3.5,3.0,1,1.0,1,1,0
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7.0,15,16,15,mother,2,3,0,no,yes,no,yes,yes,yes,2,4,3,1,1,5,4,13,13,13,0,0,Not At Risk,11.0,0,4.0,3.0,1,1.0,1,0,0
GP,F,15,R,GT3,T,3,4,services,Other,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2.0,12,12,11,mother,1,3,0,yes,yes,no,yes,yes,no,4,3,2,1,1,5,2,11,12,12,0,0,Not At Risk,4.0,0,3.5,3.0,1,1.0,1,0,1
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8.0,14,13,13,mother,1,1,0,yes,yes,no,yes,yes,no,4,3,1,1,1,2,8,14,13,12,0,0,Not At Risk,16.0,0,2.0,1.0,1,1.0,0,0,1
GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,17.94999999999999,7,10,11,mother,2,2,0,no,yes,no,yes,yes,yes,3,3,3,1,2,3,14,11,11,10,0,0,Not At Risk,31.94999999999999,1,2.0,2.0,1,1.0,1,1,0
GP,M,15,U,LE3,T,4,4,teacher,other,home,Other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8.0,12,12,12,Other,1,1,0,no,yes,no,no,yes,yes,5,4,3,2,4,5,8,10,11,11,0,0,Not At Risk,16.0,0,4.0,1.0,1,2.0,1,1,0
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2.0,19,18,18,father,1,2,0,no,yes,no,yes,yes,no,4,3,3,1,1,5,0,14,15,15,0,0,Not At Risk,2.0,0,4.0,2.0,1,1.0,1,1,0
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0.0,8,8,11,father,1,1,0,yes,yes,no,no,yes,no,5,4,1,1,1,1,0,9,10,10,0,0,Not At Risk,0.0,0,2.0,1.0,1,1.0,1,1,1
GP,F,16,U,LE3,T,2,2,other,Other,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14.0,10,10,9,father,2,2,1,yes,no,no,yes,yes,no,4,3,3,2,2,5,14,10,11,11,1,0,At Risk (Math Only),28.0,2,2.0,2.0,0,2.0,1,1,1
GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8.0,8,8,6,mother,1,2,0,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,4,10,11,11,1,0,At Risk (Math Only),12.0,0,3.5,2.0,1,1.0,1,1,1
GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12.0,11,12,11,mother,1,2,0,no,yes,no,no,yes,no,2,3,5,1,4,3,6,13,12,13,0,0,Not At Risk,18.0,0,3.0,2.0,1,1.0,1,1,0
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4.0,19,19,20,mother,1,4,0,no,no,no,yes,yes,no,4,2,2,1,1,2,2,17,17,17,0,0,Not At Risk,6.0,0,3.5,4.0,0,1.0,1,1,0
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,2,5,2.0,15,15,14,mother,1,2,0,no,yes,no,no,yes,no,4,3,3,2,2,5,4,11,12,13,0,0,Not At Risk,6.0,0,3.0,2.0,1,2.0,0,1,0
GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2.0,7,7,7,father,1,2,0,yes,yes,no,yes,yes,no,4,4,4,1,1,3,2,13,12,12,1,0,At Risk (Math Only),4.0,1,4.0,2.0,1,1.0,1,1,1
GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,2.0,12,13,13,mother,3,2,0,no,yes,no,no,yes,no,4,3,3,2,3,4,0,14,13,13,0,0,Not At Risk,2.0,0,2.0,2.0,1,2.0,1,1,0
GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2.0,11,13,13,mother,1,2,0,no,yes,no,no,yes,no,4,3,3,1,1,5,0,16,14,16,0,0,Not At Risk,2.0,0,3.0,2.0,1,1.0,1,1,0
GP,M,15,U,LE3,A,4,2,health,Other,other,father,2,1,1,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,6.0,11,11,10,father,2,1,0,no,no,no,no,yes,no,5,5,5,3,4,5,4,10,9,9,0,1,At Risk (Port Only),10.0,1,3.0,1.0,0,3.0,0,1,0
GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0.0,8,10,11,mother,1,1,0,yes,yes,no,no,yes,no,3,3,4,2,3,5,0,13,12,12,0,0,Not At Risk,0.0,0,4.0,1.0,1,2.0,1,1,1
GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,6.0,10,13,13,mother,1,1,0,no,no,no,no,yes,no,5,3,4,4,4,1,0,13,12,13,0,0,Not At Risk,6.0,0,3.0,1.0,0,4.0,1,1,0
GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,8.0,8,9,10,mother,1,2,0,no,no,no,yes,yes,yes,5,3,4,1,1,2,2,12,13,12,0,0,Not At Risk,10.0,0,1.5,2.0,0,1.0,1,1,0
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0.0,14,15,15,mother,1,2,0,no,yes,no,yes,yes,no,4,3,2,1,1,1,0,15,14,15,0,0,Not At Risk,0.0,0,3.5,2.0,1,1.0,1,1,0
GP,M,15,U,GT3,T,4,4,teacher,Other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4.0,14,15,15,mother,1,2,0,no,yes,no,yes,yes,no,3,2,2,1,1,5,8,15,15,16,0,0,Not At Risk,12.0,0,4.0,2.0,1,1.0,0,1,0
GP,M,15,U,LE3,T,1,2,other,Other,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2.0,9,10,9,father,1,2,0,yes,yes,no,yes,yes,no,4,3,2,1,1,5,0,14,13,14,1,0,At Risk (Math Only),2.0,0,1.5,2.0,1,1.0,1,1,1
GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2.0,15,16,16,mother,1,2,0,no,yes,yes,no,yes,no,4,2,3,1,1,5,2,16,15,16,0,0,Not At Risk,4.0,0,3.0,2.0,1,1.0,1,1,0
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6.0,10,11,11,mother,1,2,0,no,yes,no,yes,yes,no,2,4,4,2,3,4,0,17,16,16,0,0,Not At Risk,6.0,0,4.0,2.0,1,2.0,0,0,0
GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6.0,10,8,11,father,4,1,0,yes,yes,no,yes,yes,yes,5,5,5,5,5,5,0,10,10,16,0,0,Not At Risk,6.0,0,1.0,1.0,1,5.0,1,1,1
GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4.0,8,10,9,father,1,2,0,yes,no,no,yes,yes,no,4,4,3,1,1,1,0,13,13,10,1,0,At Risk (Math Only),4.0,0,1.5,2.0,0,1.0,1,1,1
GP,F,16,U,GT3,T,4,3,teacher,Other,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2.0,10,9,9,mother,1,3,0,yes,yes,no,yes,yes,no,3,4,4,2,4,4,0,14,13,13,1,0,At Risk (Math Only),2.0,0,3.5,3.0,1,2.0,1,1,1
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0.0,10,10,10,father,1,2,0,yes,no,no,yes,yes,yes,4,4,4,2,4,2,0,13,12,12,0,0,Not At Risk,0.0,0,3.5,2.0,0,2.0,1,1,1
GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2.0,16,15,15,mother,3,2,0,no,yes,no,yes,yes,no,5,4,3,1,2,1,2,16,15,16,0,0,Not At Risk,4.0,0,3.5,2.0,1,1.0,1,1,0
GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4.0,13,13,12,mother,1,4,0,no,yes,no,yes,yes,yes,1,3,3,5,5,3,0,11,12,12,0,0,Not At Risk,4.0,0,4.0,4.0,1,5.0,1,1,0
GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,4.0,7,7,6,mother,1,4,0,yes,yes,no,no,yes,no,4,3,3,1,2,5,0,10,9,10,1,0,At Risk (Math Only),4.0,0,2.0,4.0,1,1.0,1,1,1
GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,2.0,8,9,8,mother,2,2,0,yes,yes,no,no,yes,no,4,1,3,1,3,4,0,11,10,11,1,0,At Risk (Math Only),2.0,0,2.0,2.0,1,1.0,1,0,1
GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12.0,16,16,16,father,2,4,0,no,yes,no,no,yes,no,4,4,2,2,3,3,6,15,15,15,0,0,Not At Risk,18.0,0,2.0,4.0,1,2.0,1,0,0
GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0.0,13,15,15,father,2,4,0,no,yes,no,no,yes,no,4,3,2,1,1,5,2,13,11,11,0,0,Not At Risk,2.0,0,2.0,4.0,1,1.0,1,1,0
GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0.0,10,10,10,mother,1,4,0,no,no,no,no,yes,no,3,3,3,1,1,3,0,11,9,10,0,0,Not At Risk,0.0,0,3.0,4.0,0,1.0,1,1,0
GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2.0,8,6,5,mother,1,2,0,yes,yes,no,no,yes,yes,3,3,4,2,4,5,2,13,11,11,1,0,At Risk (Math Only),4.0,2,1.0,2.0,1,2.0,1,0,1
GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2.0,12,12,14,mother,1,1,0,no,no,no,yes,yes,no,5,3,2,2,2,5,0,13,13,14,0,0,Not At Risk,2.0,0,2.0,1.0,0,2.0,0,1,0
GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,17.94999999999999,11,12,11,mother,1,2,0,yes,yes,no,yes,yes,no,4,3,3,2,4,5,4,11,11,11,0,0,Not At Risk,21.94999999999999,0,3.0,2.0,1,2.0,1,1,1
GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6.0,9,9,10,mother,1,2,0,no,yes,no,yes,yes,no,4,3,3,2,3,5,0,11,11,11,0,0,Not At Risk,6.0,0,3.5,2.0,1,2.0,1,1,0
GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8.0,11,11,10,mother,2,4,0,no,no,no,yes,yes,no,3,4,3,1,1,1,0,12,11,11,0,0,Not At Risk,8.0,0,2.0,4.0,0,1.0,1,1,0
GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,0.0,11,11,11,mother,1,4,0,no,no,no,no,yes,yes,5,2,3,1,3,3,1,13,13,13,0,0,Not At Risk,1.0,0,2.0,4.0,0,1.0,1,1,0
GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,Other,yes,no,4,5,1,1,1,3,2.0,8,8,10,mother,2,1,3,yes,yes,no,yes,Other,no,4,5,1,1,1,3,0,9,9,10,0,0,Not At Risk,2.0,6,1.5,1.0,1,1.0,1,1,1
GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,Other,yes,no,4,5,1,1,1,3,2.0,8,8,10,mother,1,1,0,no,yes,no,no,yes,no,5,4,5,1,2,5,14,9,7,6,0,1,At Risk (Port Only),16.0,3,1.5,1.0,1,1.0,1,1,1
GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,12.0,5,5,5,mother,1,2,0,no,yes,no,no,yes,no,2,4,3,1,2,3,14,12,11,11,1,0,At Risk (Math Only),26.0,0,3.5,2.0,1,1.0,1,1,0
GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,2.0,10,12,12,father,1,1,0,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,0,11,11,12,0,0,Not At Risk,2.0,0,2.5,1.0,1,1.0,1,1,1
GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4.0,11,10,11,mother,1,3,0,yes,no,no,no,yes,no,5,3,2,1,2,5,2,10,9,9,0,1,At Risk (Port Only),6.0,0,2.5,3.0,0,1.0,1,1,1
